Name,4 Stack,3 Stack,2 Stack,1 Stack,4 Points,3 Points,2 Points,1 Point,Gaurds,Monsters,Specialists,Total,RFQ
1Badimport,0,0,0,0,0,0,0,0,0,0,0,0,0
Addarr,25,11,6,0,57995591,30037056,22690844,0,8,8,8,110723491,0.476212406
Alien,0,0,0,0,0,0,0,0,0,0,0,0,0
Allrikkert Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
Alric,0,0,0,0,0,0,0,0,0,0,0,0,0
Anrining,30,19,6,0,34495022,26813649,11739920,0,8,8,7,73048591,0.527779776
Assasyn,20,2,4,1,19278703,7272610,17897224,7682190,8,8,8,52130727,0.630185418
Aurighma,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,33,0,0,0,96604859,0,0,0,9,9,8,96604859,0
BalaGi,25,13,7,0,72192899,49942624,37628880,0,9,8,8,159764403,0.54812901
Boiti,40,9,6,0,52090176,14656015,10945710,0,8,8,7,77691901,0.329528878
BOL,34,9,3,0,86631976,22717673,8366111,0,8,8,8,117715760,0.264057965
Bonifaziuz,33,13,3,1,33353059,15527545,4902525,2122306,8,8,8,55905435,0.403402209
Brave Sir Robin,43,11,7,0,44448615,9341130,6321809,0,8,8,7,60111554,0.260564533
Bubaximus,55,19,6,0,99149603,34950336,11980389,0,8,8,7,146080328,0.321266564
Burus,11,7,1,0,7520488,5103774,737283,0,8,5,7,13361545,0.437154311
Cad,47,17,4,1,201316808,80973008,24157092,10938733,9,9,8,317385641,0.365702849
Captain Iglo,27,13,4,0,36072483,11476436,4379392,0,8,8,7,51928311,0.305340723
chicho terremoto,17,13,7,0,20555515,20757907,13598300,0,8,8,7,54911722,0.625662532
clotere,37,10,2,0,74373452,23410174,6156743,0,8,8,8,103940369,0.284460381
DarkShadow,46,17,5,0,34958401,12123463,4383833,0,8,8,7,51465697,0.32074366
DblBogey,37,9,1,0,39983618,8748705,1656387,0,8,1,7,50388710,0.206496495
DeeDee,32,15,5,0,42093689,19700746,6204864,0,8,8,8,67999299,0.38096878
Deniz,31,8,4,0,37383834,8497349,5790378,0,8,8,7,51671561,0.276510458
Dragonke,24,6,3,0,122928332,35170230,22434178,0,9,9,9,180532740,0.319080118
Dust,17,6,5,1,35636463,12815944,14253768,5969190,8,8,7,68675365,0.481088117
Eleventh Earl of Mar,40,17,4,1,63529129,29663644,7328848,5653840,9,8,7,106175461,0.401659024
Fafnir The Greed,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantom,31,7,5,0,45115542,11941229,11266853,0,8,8,7,68323624,0.339678732
Fifedeyl,12,14,9,0,15806120,21501369,20072438,0,8,7,8,57379927,0.724535725
Fire X,34,18,7,0,47726235,29848619,15785984,0,8,8,8,93360838,0.48879813
Frankdrovard,0,0,0,0,0,0,0,0,0,0,0,0,0
GaLLEON,19,16,6,0,26324563,25450527,12339398,0,8,8,7,64114488,0.589413192
GalNik,19,19,9,1,67090430,83671266,51009832,10015797,9,9,9,211787325,0.683217917
Ghost of Hansa,8,3,0,0,16751405,7542419,0,0,8,8,8,24293824,0.31046652
Gunny,23,9,2,0,29301481,11456505,1268598,0,8,8,7,42026584,0.302786993
Hakuna Matata,28,25,11,2,44848176,39090663,23853354,10834921,8,8,7,118627114,0.621939922
Hammurabi,32,28,13,1,49043452,49694622,31909657,4635686,9,8,8,135283417,0.637476247
Harrison,20,10,5,0,12561094,7615241,5335507,0,8,7,7,25511842,0.507636728
Hefajstos,19,11,8,0,22922072,32327766,39404989,0,8,8,8,94654827,0.75783515
Inferno,39,9,3,0,76352159,20097036,9392199,0,8,8,8,105841394,0.27861722
Ironclad,51,7,2,0,52171937,7570609,2812247,0,8,8,7,62554793,0.165980183
ismail,28,12,5,0,49296517,24525460,14085577,0,8,8,7,87907554,0.439223198
JimBob,18,4,3,0,41381810,10962550,10259475,0,9,9,8,62603835,0.338989217
Kamyk,34,14,7,1,56316597,24410487,16805345,5221395,8,8,7,102753824,0.451926996
Kardinol,28,16,7,0,92857368,56373283,31072376,0,9,8,7,180303027,0.484992739
King Moïse,51,12,1,0,49825281,6405166,170287,0,8,8,1,56400734,0.116584529
Kılıç Arslan,24,18,11,1,34708933,29964018,24216474,3886637,8,8,7,92776062,0.625884821
Klatu,27,11,7,0,43419367,20777180,17278644,0,8,8,7,81475191,0.467084809
Lefinan,21,7,4,0,109110184,24042122,9314882,0,9,8,7,142467188,0.234138151
Leonidas,25,8,6,0,22270530,6083459,7378727,0,8,8,7,35732716,0.376746789
LordBongwater,36,16,4,0,99069477,43388224,7546288,0,8,9,7,150003989,0.339554383
LovesLibia08,31,9,4,0,74120789,24796091,13718995,0,8,8,8,112635875,0.341943328
Magepick,21,11,11,0,46639689,28773199,37457120,0,9,8,7,112870008,0.586784037
Magnús Berfœttr,6,4,0,0,321230,249639,0,0,6,5,6,570869,0.437296473
Malus Dacus,16,10,1,0,28308872,39261879,5066447,0,9,8,8,72637198,0.610270319
Manik Doomsbane,18,7,5,2,37877714,17452391,18270255,12608723,8,8,8,86209083,0.560629661
Marcus Aurelius,12,5,5,0,75324895,37057985,51062810,0,9,9,7,163445690,0.539144195
Marshall 1,25,6,0,0,45343453,8020284,0,0,8,8,7,53363737,0.150294647
Meninad,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercury,34,12,9,1,140887131,56173925,53840362,3607405,9,8,8,254508823,0.446435179
MironiC2K,24,5,1,0,40285008,11397606,3102255,0,8,8,7,54784869,0.264669082
Moose Almighty,28,21,12,0,34754521,30820855,17821020,0,8,7,7,83396396,0.583261116
Mr sheffield,38,4,0,0,48365464,3704464,0,0,8,8,7,52069928,0.07114402
nAp of the Owl,39,26,9,0,42626214,81100984,38065914,0,9,7,7,161793112,0.736538759
Niduen,19,5,4,0,38013170,12070733,12824525,0,8,8,8,62908428,0.39573804
NOGAYHAN,26,15,5,0,62518621,29087993,10733610,0,8,8,8,102340224,0.389109985
Olgolil,0,0,0,0,0,0,0,0,0,0,0,0,0
Onehole,21,2,0,0,24700309,2695612,0,0,7,7,7,27395921,0.098394648
ORP Kościuszko,46,9,2,0,18368480,3814543,1470575,0,8,8,7,23653598,0.223438227
Pal,47,13,5,0,52666498,12057412,6969891,0,9,8,7,71693801,0.265396767
PhaQue,15,5,1,0,21211265,6528329,2124340,0,8,8,6,29863934,0.289736409
PİRİREİS,27,12,4,0,30114002,16146688,6444688,0,8,8,8,52705378,0.42863512
Poet Noblesse,36,21,10,0,50286464,30674962,17652838,0,8,8,8,98614264,0.490069063
Pucker up buttercup,39,5,5,0,76072649,13410499,21223220,0,9,8,7,110706368,0.312843061
Ragnarock,49,8,3,0,59292589,11494607,5721439,0,8,8,7,76508635,0.225020954
Rali,16,5,7,1,37370285,12842625,22077197,6743040,8,8,1,79033147,0.527156814
Ressam,34,24,9,0,45675728,38405135,18172211,0,8,8,7,102253074,0.553307043
RicaChu,19,13,3,0,16872878,9260761,3013795,0,8,7,7,29147434,0.421119609
ruhav,39,10,4,0,32388883,7445971,4153963,0,8,8,6,43988817,0.263701886
Rutka,29,8,2,0,51670164,10817401,2704897,0,8,8,7,65192462,0.207421189
Santa Claus,21,13,7,0,53965394,35252338,22837813,0,9,8,7,112055545,0.518404966
ScarletApple,50,28,12,0,72919706,49036359,25907374,0,9,8,8,147863439,0.506844244
Schumacher Buske,25,6,2,0,39132956,9076012,2716379,0,8,8,7,50925347,0.23156231
SERDENGEÇTİ5816sız,42,12,4,0,30592479,8485949,2771907,0,8,7,7,41850335,0.269002769
SES,32,13,5,0,33649997,15942782,8020009,0,8,8,8,57612788,0.415928335
ShOcKwAvE,47,24,10,0,70480822,41069091,21451763,0,9,8,1,133001676,0.470075685
Silingwe,44,8,3,0,62298951,11132452,4405498,0,8,8,7,77836901,0.199621899
Sir Brad,37,16,8,0,59404791,21998617,9889946,0,8,8,8,91293354,0.349297748
Sir Massimo,33,8,4,1,73612043,13574520,9216764,3544531,8,8,7,99947858,0.263495542
Sir Waz,14,7,4,0,18841293,9013168,6566450,0,8,8,7,34420911,0.452620734
SMACKMAN,20,12,5,0,22203419,13127570,7595537,0,8,8,7,42926526,0.482757608
small Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudanese Hero,10,8,5,0,14831357,15768411,13941360,0,8,8,7,44541128,0.667018828
TC Halil Ağa 07,40,20,7,0,55363699,25961199,14967380,0,8,8,7,96292278,0.425045288
Themis,10,7,2,0,14335993,11651880,4379526,0,8,8,7,30367399,0.527915018
Throatpunch da Meek,31,13,5,0,64391510,26092979,13798802,0,8,8,8,104283291,0.382532816
TRUCK DRIVER,15,16,7,2,21360976,29050495,17472442,9686224,8,8,7,77570137,0.724623717
Trueray,0,0,0,0,0,0,0,0,0,0,0,0,0
Truthbourne,59,19,5,0,92267040,34910222,24279122,0,8,8,8,151456384,0.390801249
Tygranaya,50,13,4,0,98897497,30527419,12098730,0,8,9,8,141523646,0.301194537
Uhtred,20,8,3,0,15625888,6782211,2890209,0,8,8,7,25298308,0.38233466
United,24,9,4,0,32651978,12386784,6284597,0,8,8,8,51323359,0.363798889
Yvenessa,0,0,0,0,0,0,0,0,0,0,0,0,0
Дейенерис,36,11,2,0,170210794,58836677,13504837,0,9,9,9,242552308,0.298251188
Фоли,0,0,0,0,0,0,0,0,0,0,0,0,0
